,brand,name,modelNo,price,finalPrice,url,Box,Papers,Year,Product Code,Case Size,Case Material,Movement,Bracelet,Dial Type,Water Resistance,Description,Gender,Case Shape,details,Currency,bandColor,condition,estimatedRetailPrice,images,model,fetchDate
31,Rolex,Daytona,116515 LN,,"46,100",https://www.watchfinder.co.uk/Rolex/Daytona/116515%20LN/22226/item/218838,Yes,Yes,2014,218838,40 MM,Rose Gold,Automatic,Rubber - Black,Ivory Baton,100 metres,"This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.",,,,£,Black,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/218838/Rolex-Daytona-116515LN-218838-2-220708-155944.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/218838/Rolex-Daytona-116515LN-218838-2-220708-155944.jpg;quality=55;h=160 2x",Daytona,16/05/2023
32,IWC,Pilot’s Chrono,IW377706,,"4,610",https://www.watchfinder.co.uk/IWC/Pilot%E2%80%99s%20Chrono/IW377706/27230/item/246157,Yes,Yes,2016,246157,43 MM,Steel,Automatic,Leather - Brown,Blue Arabic,50 metres,"This IWC has undergone a thorough inspection of accuracy, functionality and condition at our IWC certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",,,,£,Brown,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/164735/IWC-PilotsChrono-IW377706-164735-3-200717-092631.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/164735/IWC-PilotsChrono-IW377706-164735-3-200717-092631.jpg;quality=55;h=160 2x",Pilot’s Chrono,16/05/2023
33,Roger Dubuis,Excalibur Triple Timezone,EX45-1448-9-9.71TT/28,"13,615","11,455",https://www.watchfinder.co.uk/Roger%20Dubuis/Excalibur%20Triple%20Timezone/EX45-1448-9-9.71TT/28/47166/item/163728,Yes,Yes,2013,163728,45 MM,Steel,Automatic,Crocodile - Black,Black Roman Numeral,50 metres,"This Roger Dubuis has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",,,,£,Black,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/163728/RogerDubuis-ExcaliburTripleTimezone-EX45-1448-9-9.71TT28-163728-2-210218-142321.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/163728/RogerDubuis-ExcaliburTripleTimezone-EX45-1448-9-9.71TT28-163728-2-210218-142321.jpg;quality=55;h=160 2x",Excalibur Triple Timezone,16/05/2023
34,Tudor,Black Bay,M79730-003,,"2,610",https://www.watchfinder.co.uk/Tudor/Black%20Bay/M79730-003/52683/item/233820,Yes,Yes,2018,233820,41 MM,Steel,Automatic,Leather - Black,Black Baton,200 metres,"This Tudor has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.",,,,£,Black,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/233820/Tudor-BlackBay-M79730-003-233820-3-221110-152847.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/233820/Tudor-BlackBay-M79730-003-233820-3-221110-152847.jpg;quality=55;h=160 2x",Black Bay,16/05/2023
35,Rolex,Oyster Perpetual,124300,,"13,880",https://www.watchfinder.co.uk/Rolex/Oyster%20Perpetual/124300/48424/item/226793,Yes,Yes,2021,226793,41 MM,Steel,Automatic,Steel (Oyster),Coral Red,100 metres,"This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.",,,,£,Steel,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/226793/Rolex-OysterPerpetual-124300-226793-3-220816-083217.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/226793/Rolex-OysterPerpetual-124300-226793-3-220816-083217.jpg;quality=55;h=160 2x",Oyster Perpetual,16/05/2023
36,Graham,Chronofighter Oversize,2CCAU.G01A.T15N,"2,765","1,875",https://www.watchfinder.co.uk/Graham/Chronofighter%20Oversize/2CCAU.G01A.T15N/25831/item/206464,No,No,Approx. 2016,206464,47 MM,Black PVD,Automatic,Fabric - Green,Black Arabic,100 metres,"This Graham has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.",,,,£,Green,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/206464/Graham-ChronofighterOversize-2CCAU.G01A.T15N-206464-2-230105-144424.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/206464/Graham-ChronofighterOversize-2CCAU.G01A.T15N-206464-2-230105-144424.jpg;quality=55;h=160 2x",Chronofighter Oversize,16/05/2023
37,Zenith,Grande Class,03.0520.4021/01.c492,"3,305","2,875",https://www.watchfinder.co.uk/Zenith/Grande%20Class/03.0520.4021/01.c492/31307/item/150383,No,No,Approx. 2013,150383,44 MM,Steel,Automatic,Crocodile - Black,Black Arabic,50 metres,"This Zenith has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.",,,,£,Black,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/150383/Zenith-GrandeClass-03.0520.402101.c492-150383-2-220404-154011.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/150383/Zenith-GrandeClass-03.0520.402101.c492-150383-2-220404-154011.jpg;quality=55;h=160 2x",Grande Class,16/05/2023
38,Aqua Terra 150m Gents,231.20.44.50.06.002,"£6,740",,"6,740",https://www.watchfinder.co.uk/Omega/Aqua%20Terra%20150m%20Gents/231.20.44.50.06.002/32942/item/191249,Yes,Yes,2019,191249,44 MM,Steel & Rose Gold,Automatic,Steel,Grey Baton,150 metres,"This Omega has undergone a thorough inspection of accuracy, functionality and condition at our Omega certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",,,,£,Steel,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/191249/Omega-AquaTerra150mGents-231.20.44.50.06.002-191249-1-220105-183433.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/191249/Omega-AquaTerra150mGents-231.20.44.50.06.002-191249-1-220105-183433.jpg;quality=55;h=160 2x",231.20.44.50.06.002,16/05/2023
39,Link,WT141M.BA0560,£660,,660,https://www.watchfinder.co.uk/Tag%20Heuer/Link/WT141M.BA0560/7614/item/180421,No,No,Approx. 2013,180421,MM,Steel,Quartz,Steel,Mother of Pearl Pink,,"This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.",,,,£,Steel,RefurbishedCondition,,"https://images.watchfinder.co.uk/imgv2/stock/180421/TagHeuer-Link-WT141M.BA0560-180421-2-211109-173824.jpg;quality=90;h=80, https://images.watchfinder.co.uk/imgv2/stock/180421/TagHeuer-Link-WT141M.BA0560-180421-2-211109-173824.jpg;quality=55;h=160 2x",WT141M.BA0560,16/05/2023
40,Datejust 41,126334,"£13,075",,"13,075",https://www.watchfinder.co.uk/Rolex/Datejust%2041/126334/36009/item/248083,Yes,Yes,2021,248083,41 MM,Steel & White Gold,Automatic,Steel (Jubilee) (length 18.5 cm),Slate Roman Numeral,100 metres,"This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",,,,£,Steel,RefurbishedCondition,"£8,800","https://images.watchfinder.co.uk/marketplace/prod/a8fb0cd6f6e84a74be13fe0de0957f27;quality=90;h=80, https://images.watchfinder.co.uk/marketplace/prod/a8fb0cd6f6e84a74be13fe0de0957f27;quality=55;h=160 2x",126334,16/05/2023
41,Submariner,126613 LB,"£16,995",,"16,995",https://www.watchfinder.co.uk/Rolex/Submariner/126613%20LB/48219/item/248061,Yes,Yes,2023,248061,41 MM,Steel & Yellow Gold,Automatic,Steel & Yellow Gold (Oyster) (length 19 cm),Blue,300 metres,"The Submariner was developed in 1953 with Jacques-Yves Cousteau and quickly became the quintessential diver’s watch—setting a new industry standard. There have been many updates and variations to the Submariner since, and the 126613 LB is one iteration that is highly distinctive. The bold style of this two-tone Submariner in steel and yellow gold is enhanced by the contrasting blue dial and bezel, which really makes the piece pop. Powering this watch is the calibre 3235, a new-generation Rolex movement that features the new Chronergy escapement and Parachrom hairspring.",,,,£,Steel,RefurbishedCondition,"£13,150","https://images.watchfinder.co.uk/marketplace/prod/7cd4aa88999e43e2a5975757d8ee990e;quality=90;h=80, https://images.watchfinder.co.uk/marketplace/prod/7cd4aa88999e43e2a5975757d8ee990e;quality=55;h=160 2x",126613 LB,16/05/2023
42,Air-King,116900,"£7,200",,"7,200",https://www.watchfinder.co.uk/Rolex/Air-King/116900/29608/item/248076,Yes,Yes,2017,248076,40 MM,Steel,Automatic,Steel (Oyster) (length 19 cm),Black Arabic,100 metres,"The Air King was named in honour of the brave RAF pilots of WWII, when Hans Wilsdorf, founder of Rolex, discovered they were ditching their standard issue watches for his Oyster Perpetual. As one of its longest continuously manufactured and most affordable watches, the Air King is a beloved staple of Rolex's range. At Baselworld 2016, the brand released this superbly updated model. It refreshes the classic look, upgrading size, durability and calibre precision while staying true to its aviation heritage in such key elements as the iconic 1950s Air-King font. Many believe that the dial design is inspired by the custom dashboard timepieces Rolex supplied to the Bloodhound SSC land speed record attempt.",,,,£,Steel,RefurbishedCondition,,"https://images.watchfinder.co.uk/marketplace/prod/16460474806b494a942daf05c7f28f18;quality=90;h=80, https://images.watchfinder.co.uk/marketplace/prod/16460474806b494a942daf05c7f28f18;quality=55;h=160 2x",116900,16/05/2023
43,Oyster Perpetual,124300,"£8,700",,"8,700",https://www.watchfinder.co.uk/Rolex/Oyster%20Perpetual/124300/48247/item/247797,Yes,Yes,2023,247797,41 MM,Steel,Automatic,Steel (Oyster) (length 18.5 cm),Blue Baton,100 metres,"This Rolex has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.",,,,£,Steel,RefurbishedCondition,"£5,400","https://images.watchfinder.co.uk/marketplace/prod/4593662218b44f5a8764238672dcb257;quality=90;h=80, https://images.watchfinder.co.uk/marketplace/prod/4593662218b44f5a8764238672dcb257;quality=55;h=160 2x",124300,16/05/2023
